spatial_cell_id,raw_count,normalized_count,observed_days,full_month_days,normalization_factor
CELL_2597_15541,16,60,8,30,3.75
CELL_2597_15542,3,11,8,30,3.75
CELL_2597_15546,99,371,8,30,3.75
CELL_2598_15500,15,56,8,30,3.75
CELL_2598_15506,1,4,8,30,3.75
CELL_2598_15507,2,8,8,30,3.75
CELL_2598_15510,159,596,8,30,3.75
CELL_2598_15511,17,64,8,30,3.75
CELL_2598_15513,4,15,8,30,3.75
CELL_2598_15514,75,281,8,30,3.75
CELL_2598_15515,2,8,8,30,3.75
CELL_2598_15517,13,49,8,30,3.75
CELL_2598_15518,5,19,8,30,3.75
CELL_2598_15519,7,26,8,30,3.75
CELL_2598_15520,7,26,8,30,3.75
CELL_2598_15521,2,8,8,30,3.75
CELL_2598_15522,1,4,8,30,3.75
CELL_2598_15523,10,38,8,30,3.75
CELL_2598_15532,53,199,8,30,3.75
CELL_2598_15539,22,82,8,30,3.75
CELL_2598_15540,19,71,8,30,3.75
CELL_2598_15541,9,34,8,30,3.75
CELL_2598_15542,7,26,8,30,3.75
CELL_2598_15543,22,82,8,30,3.75
CELL_2598_15544,1,4,8,30,3.75
CELL_2599_15504,2,8,8,30,3.75
CELL_2599_15505,4,15,8,30,3.75
CELL_2599_15508,12,45,8,30,3.75
CELL_2599_15509,229,859,8,30,3.75
CELL_2599_15510,177,664,8,30,3.75
CELL_2599_15511,7,26,8,30,3.75
CELL_2599_15512,31,116,8,30,3.75
CELL_2599_15513,72,270,8,30,3.75
CELL_2599_15514,137,514,8,30,3.75
CELL_2599_15515,4,15,8,30,3.75
CELL_2599_15516,18,68,8,30,3.75
CELL_2599_15520,4,15,8,30,3.75
CELL_2599_15521,4,15,8,30,3.75
CELL_2599_15522,13,49,8,30,3.75
CELL_2599_15523,6,22,8,30,3.75
CELL_2599_15524,1,4,8,30,3.75
CELL_2599_15525,3,11,8,30,3.75
CELL_2599_15533,71,266,8,30,3.75
CELL_2599_15534,6,22,8,30,3.75
CELL_2599_15535,5,19,8,30,3.75
CELL_2599_15537,8,30,8,30,3.75
CELL_2599_15538,19,71,8,30,3.75
CELL_2599_15539,26,98,8,30,3.75
