patrol_rank,cell_lat,cell_lon,ensemble_score,pred_lgbm,pred_rolling,pred_lag1,count_lag1,rolling_mean_3m,recurrence_rate,n_active_months,persistence_score,patrol_tier
208,,,38.6377714404572,36.27554288091441,45.0,35.0,35.0,45.0,1.0,5,1.0,Tier 2 — Medium
209,,,38.564924829977585,36.92984965995517,41.666666666666664,38.0,38.0,41.666666666666664,0.8,4,0.9333333333333333,Tier 2 — Medium
210,,,38.387709225548704,40.57541845109741,44.333333333333336,24.0,24.0,44.333333333333336,1.0,5,1.0,Tier 2 — Medium
211,,,38.20662900808158,39.21325801616315,39.333333333333336,34.0,34.0,39.333333333333336,0.8,4,0.8666666666666667,Tier 2 — Medium
212,,,38.19727266023532,41.994545320470635,26.666666666666668,46.0,46.0,26.666666666666668,1.0,5,1.0,Tier 2 — Medium
213,,,37.29096616755031,45.38193233510062,28.666666666666668,30.0,30.0,28.666666666666668,1.0,5,1.0,Tier 2 — Medium
214,,,37.20654330508422,32.81308661016844,29.333333333333332,60.0,60.0,29.333333333333332,1.0,5,1.0,Tier 2 — Medium
215,,,36.93790791728751,38.47581583457502,39.0,30.0,30.0,39.0,1.0,5,1.0,Tier 2 — Medium
216,,,36.801134472113105,35.60226894422621,42.666666666666664,31.0,31.0,42.666666666666664,1.0,5,1.0,Tier 2 — Medium
217,,,36.69876171777666,37.99752343555333,37.666666666666664,32.0,32.0,37.666666666666664,1.0,5,1.0,Tier 2 — Medium
218,,,36.36946573505738,37.738931470114764,39.666666666666664,28.0,28.0,39.666666666666664,1.0,5,1.0,Tier 2 — Medium
